[  INFO  ]   -   ADD_FOOD elkezdődött
[   OK   ]   -   01210   |   Egg Mix, USDA Commodity   |   EGG MIX,USDA CMDTY   |   0
[   OK   ]   -   04688   |   Salad dressing, spray-style dressing, assorted flavors   |   SALAD DRSNG,SPRAY-STYLE DRSNG,ASSORTED FLAVORS   |   0
[   OK   ]   -   05341   |   Chicken, broilers or fryers, back, meat only, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,ROTISSERIE,ORI   |   56
[   OK   ]   -   05342   |   Chicken, broilers or fryers, breast, meat only, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,ROTISSERIE,O   |   24
[   OK   ]   -   05343   |   Chicken, broilers or fryers, drumstick, meat only, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,ROTISSERIE,   |   41
[   OK   ]   -   05344   |   Chicken, broilers or fryers, skin only, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,ROTISSERIE,ORIGINAL   |   0
[   OK   ]   -   05345   |   Chicken, broilers or fryers, thigh, meat only, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,ROTISSERIE,OR   |   29
[   OK   ]   -   05346   |   Chicken, broilers or fryers, wing, meat only, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,ROTISSERIE,ORI   |   57
[   OK   ]   -   05347   |   Chicken, broilers or fryers, back, meat and skin, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,BACK,MEAT & SKN,CKD,ROTISSERIE,OR   |   0
[   OK   ]   -   05348   |   Chicken, broilers or fryers, breast, meat and skin, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,BREAST,MEAT & SKN,CKD,ROTISSERIE,   |   0
[   OK   ]   -   05349   |   Chicken, broilers or fryers, drumstick, meat and skin, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE   |   0
[   OK   ]   -   05351   |   Chicken, broilers or fryers, thigh, meat and skin, cooked, rotisserie, original seasoning   |   CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O   |   0
